,English,Chinese
0,abate,减轻，降价
1,abhorrent,可恶的，可恨的
2,abide,停留，容忍
3,acclimatise,使...服水土
4,accreditation,证明合格
5,acumen,敏锐，精明
6,advantageous,有利的
7,adventurous,喜欢冒险的，充满冒险和刺激的
8,aeration,通风
9,aerobics,有氧运动
10,aeronautics,航空学
11,afield,在野外，在战场，到远方
12,ailment,（不严重的）疾病
13,alchemist,炼金术士
14,alight,点着的；降落
15,alluvial,冲积的，淤积的
16,almond,杏树，杏仁
17,altruistic,无私的，为他人着想的
18,amorphous,无固定形状的
19,amphibious,两栖的
20,anatomy,解剖学
21,anthropologist,人类学家
22,antibiotic,抗生素，抗菌的
23,antiquated,陈旧的，过时的
24,antiseptic,防腐的
25,apportion,分派，分配
26,appraisal,评估，评价
27,aquarium,养鱼池，水族馆
28,arable,可耕作的；n.耕地
29,arboreal,树木的；栖于树木的
30,arcade,拱廊
31,aridity,干旱，乏味
32,arousal,唤起
33,artery,动脉，干线
34,arthritis,关节炎
35,ascribe,把...归因于
36,assimilate,吸收，使同化
37,assistantship,助学金，助教奖学金
38,asthma,哮喘症
39,astound,使震惊
40,astray,迷路地；误入歧途地
41,astrology,占星学；占星术
42,asymmetry,不对称
43,atmospheric,大气的，大气层的，大气所引起的
44,attentive,注意的，专心的；关心的，体贴的
45,audacious,大胆的；有冒险精神的；鲁莽的；厚颜无耻的
46,audit,审计，查账，旁听
47,audition,试演，试听，试音
48,auditorium,礼堂，观众席
49,authenticate,鉴别，证明
50,autocratic,独裁的，专制的
51,autoimmune,自身免疫的
52,avalanche,雪崩
53,axle,车轴，轮轴
54,badge,徽章；标记；象征
55,baffle,使困惑，难倒；n.挡板，隔板
56,barbaric,野蛮的，残暴的，原始部落的
57,barge,n.驳船；v.猛撞，闯
58,barrage,弹幕射击；火力网
59,bead,珠子
60,begrimed,污秽的
61,begrudge,对...不满；嫉妒；勉强做
62,bereave,使丧失；剥夺
63,bewilder,使迷惑，使昏乱
64,bilateral,双边的；双方的
65,binoculars,双筒望远镜
66,biometrics,生物测定学
67,bizarre,奇形怪状的；怪诞的
68,blast,v.爆破，炸毁；n.一阵（大风）；冲击
69,blaze,熊熊燃烧；发强光；迸发；n.火焰
70,bleak,寒冷的；阴郁的；没有希望的；荒凉的
71,bolster,支持，支撑；改善；n.垫子
72,bookrest,阅书架
73,bouncing,健壮的，茁壮的
74,breakwater,防浪堤
75,bring around/round,说服；使恢复知觉
76,bring out,出版；激起；鼓励
77,brittle,易碎的，易损坏的；靠不住的；冷淡的；声音尖利的
78,bronchitis,支气管炎
79,brunt,冲击；冲力
80,buckle,n.皮带扣环；v.扣紧；变形；弯曲
81,bulge,膨胀；凸出；塞满
82,bulletin,新闻简报；公告；学报，期刊
83,bump,碰，撞；颠簸前进；n.碰撞；隆起物
84,bump into,不期而遇，邂逅
85,bungalow,带走廊的平房
86,burgeon,迅速成长；发展
87,burrow,挖掘，钻进；翻寻；n.地洞
88,bypass,旁道；vt.绕过
89,calibrate,标定，划分；校准刻度
90,calibre,质量，才干，能力；口径
91,cameral,（立法机关）院的
92,camouflage,v/n.掩饰，伪装
93,Cantonese,广东人的；广东话的
94,capsize,翻船；倾覆
95,captive,被抓住的；受控制的；受垄断的；n.被抓住的人或物
96,captivity,n.囚禁，拘留
97,cardiovascular,心血管的
98,carousel,行李式传送带
99,cascade,小瀑布
100,caustic,n.腐蚀剂；a.腐蚀性的；讽刺的，挖苦的
101,cavort,欢跃，跳跃；嬉戏
102,celestial,天体的，天上的
103,censor,审查，检查；n.检查员
104,censure,指责，谴责，责难
105,centennial,百年纪念；a.一百年的
106,centigrade,百分度的；摄氏度的
107,centrifugal force,离心力
108,ceramic,陶器的，陶瓷器
109,cervical,子宫颈的；颈部的
110,chamber,室；洞穴；枪膛
111,chancellor,大臣；总理；首席法官；大学校长
112,chapel,小教堂；祈祷室
113,charcoal,炭，木炭
114,chill,变冷，冷藏；寒意
115,chink,裂缝，裂口；一缕光；叮当声
116,cholesterol,胆固醇
117,chunk,大块，相当大的部分
118,churn,搅乳器；剧烈搅动
119,circumscribe,在...周围画线；限制
120,clamp,夹紧；夹钳
121,clash,发生冲突；不协调；砰地相撞
122,clench,握紧；咬紧牙关；牢牢抓住
123,clientele,(医师、律师等的)顾客，主顾
124,climatic,气候上的
125,clot,血液凝块，凝结成块
126,clutch,离合器；企图抓，抓紧
127,coarse,粗的，粗劣的
128,coffer,保险箱
129,coherent,条理清楚的，连贯的，一致的
130,cohesion,结合，团结；凝聚力
131,collate,对照；核对；整理
132,collateral,并行的；间接的，附带的
133,colossal,巨大的，庞大的
134,combustion,燃烧，燃烧过程
135,commence,开始，着手
136,commencement,开端；毕业典礼
137,commiserate,同情，怜悯
138,commission,委托；佣金；vt.授权，委托
139,commonwealth,英联邦；联合体
140,compassionate,有同情心的，表示怜悯的
141,compatriot,同胞；同国人
142,compendium,简要，概略
143,concede,（不情愿的）承认，让步
